Station Name,Time Period,Avg Daily Entries
Addison Road,AM Peak (Open-9:30am),0.2
Addison Road,Evening (7pm-12am),0.1
Addison Road,PM Peak (3pm-7pm),0.2
Addison Road,Late Night (12am-Close),0.0
Addison Road,Midday (9:30am-3pm),0.3
Anacostia,Evening (7pm-12am),0.4
Anacostia,PM Peak (3pm-7pm),0.6
Anacostia,Midday (9:30am-3pm),1.0
Anacostia,Late Night (12am-Close),0.0
Anacostia,AM Peak (Open-9:30am),0.4
Archives,Evening (7pm-12am),0.7
Archives,Midday (9:30am-3pm),1.0
Archives,AM Peak (Open-9:30am),0.1
Archives,PM Peak (3pm-7pm),2.1
Archives,Late Night (12am-Close),0.0
Arlington Cemetery,Evening (7pm-12am),0.0
Arlington Cemetery,Midday (9:30am-3pm),0.9
Arlington Cemetery,Late Night (12am-Close),0.0
Arlington Cemetery,PM Peak (3pm-7pm),0.6
Arlington Cemetery,AM Peak (Open-9:30am),0.0
Ashburn,PM Peak (3pm-7pm),0.3
Ashburn,Midday (9:30am-3pm),0.7
Ashburn,AM Peak (Open-9:30am),0.2
Ashburn,Late Night (12am-Close),0.0
Ashburn,Evening (7pm-12am),0.1
Ballston-MU,Late Night (12am-Close),0.1
Ballston-MU,Evening (7pm-12am),0.7
Ballston-MU,AM Peak (Open-9:30am),0.4
Ballston-MU,PM Peak (3pm-7pm),1.3
Ballston-MU,Midday (9:30am-3pm),1.8
Benning Road,Late Night (12am-Close),0.0
Benning Road,Evening (7pm-12am),0.2
Benning Road,Midday (9:30am-3pm),0.5
Benning Road,PM Peak (3pm-7pm),0.3
Benning Road,AM Peak (Open-9:30am),0.2
Bethesda,PM Peak (3pm-7pm),1.1
Bethesda,Late Night (12am-Close),0.0
Bethesda,AM Peak (Open-9:30am),0.3
Bethesda,Midday (9:30am-3pm),1.5
Bethesda,Evening (7pm-12am),0.7
Braddock Road,PM Peak (3pm-7pm),0.5
Braddock Road,Late Night (12am-Close),0.0
Braddock Road,AM Peak (Open-9:30am),0.2
Braddock Road,Midday (9:30am-3pm),0.6
Braddock Road,Evening (7pm-12am),0.3
Branch Ave,Late Night (12am-Close),0.0
Branch Ave,PM Peak (3pm-7pm),0.3
Branch Ave,Midday (9:30am-3pm),0.7
Branch Ave,AM Peak (Open-9:30am),0.3
Branch Ave,Evening (7pm-12am),0.2
Brookland-CUA,AM Peak (Open-9:30am),0.3
Brookland-CUA,Late Night (12am-Close),0.0
Brookland-CUA,Midday (9:30am-3pm),1.2
Brookland-CUA,PM Peak (3pm-7pm),0.7
Brookland-CUA,Evening (7pm-12am),0.3
Capitol Heights,Evening (7pm-12am),0.1
Capitol Heights,Late Night (12am-Close),0.0
Capitol Heights,Midday (9:30am-3pm),0.3
Capitol Heights,AM Peak (Open-9:30am),0.2
Capitol Heights,PM Peak (3pm-7pm),0.1
Capitol South,Evening (7pm-12am),0.3
Capitol South,Late Night (12am-Close),0.0
Capitol South,PM Peak (3pm-7pm),1.2
Capitol South,AM Peak (Open-9:30am),0.1
Capitol South,Midday (9:30am-3pm),1.0
Cheverly,Evening (7pm-12am),0.0
Cheverly,PM Peak (3pm-7pm),0.1
Cheverly,Late Night (12am-Close),0.0
Cheverly,AM Peak (Open-9:30am),0.1
Cheverly,Midday (9:30am-3pm),0.2
Clarendon,PM Peak (3pm-7pm),0.9
Clarendon,Late Night (12am-Close),0.1
Clarendon,AM Peak (Open-9:30am),0.1
Clarendon,Evening (7pm-12am),0.6
Clarendon,Midday (9:30am-3pm),1.1
Cleveland Park,Midday (9:30am-3pm),1.1
Cleveland Park,AM Peak (Open-9:30am),0.1
Cleveland Park,PM Peak (3pm-7pm),0.8
Cleveland Park,Evening (7pm-12am),0.4
Cleveland Park,Late Night (12am-Close),0.0
College Park-U of Md,Evening (7pm-12am),0.2
College Park-U of Md,Late Night (12am-Close),0.0
College Park-U of Md,PM Peak (3pm-7pm),0.5
College Park-U of Md,Midday (9:30am-3pm),0.9
College Park-U of Md,AM Peak (Open-9:30am),0.2
Columbia Heights,Evening (7pm-12am),1.3
Columbia Heights,Late Night (12am-Close),0.1
Columbia Heights,Midday (9:30am-3pm),2.7
Columbia Heights,PM Peak (3pm-7pm),2.5
Columbia Heights,AM Peak (Open-9:30am),0.6
Congress Heights,Midday (9:30am-3pm),0.5
Congress Heights,AM Peak (Open-9:30am),0.2
Congress Heights,Evening (7pm-12am),0.2
Congress Heights,PM Peak (3pm-7pm),0.2
Congress Heights,Late Night (12am-Close),0.0
Court House,PM Peak (3pm-7pm),0.9
Court House,Evening (7pm-12am),0.5
Court House,Midday (9:30am-3pm),1.4
Court House,AM Peak (Open-9:30am),0.3
Court House,Late Night (12am-Close),0.0
Crystal City,Midday (9:30am-3pm),1.4
Crystal City,AM Peak (Open-9:30am),0.4
Crystal City,PM Peak (3pm-7pm),0.9
Crystal City,Evening (7pm-12am),0.5
Crystal City,Late Night (12am-Close),0.0
Deanwood,Late Night (12am-Close),0.0
Deanwood,PM Peak (3pm-7pm),0.2
Deanwood,AM Peak (Open-9:30am),0.1
Deanwood,Midday (9:30am-3pm),0.3
Deanwood,Evening (7pm-12am),0.1
Downtown Largo,Midday (9:30am-3pm),0.5
