Station Name,Jurisdiction
Addison Road,"Capitol Heights, Maryland"
Anacostia,"Washington, D.C.(southeast)"
Archives,"Washington, D.C.(northwest)"
Arlington Cemetery,"Arlington County, Virginia"
Ashburn,"Ashburn, Virginia"
Ballston–MU,"Arlington County, Virginia"
Benning Road,"Washington, D.C.(northeast)"
Bethesda,"Bethesda, Maryland"
Braddock Road,"Alexandria, Virginia"
Branch Avenue†,"Suitland, Maryland"
Brookland–CUA,"Washington, D.C.(northeast)"
Capitol Heights,"Prince George's County, Maryland"
Capitol South,District of Columbia
Cheverly,"Prince George's County, Maryland"
Clarendon,"Arlington County, Virginia"
Cleveland Park,District of Columbia
College Park–University of Maryland,"Prince George's County, Maryland"
Columbia Heights,District of Columbia
Congress Heights,District of Columbia
Court House,"Arlington County, Virginia"
Crystal City,"Arlington County, Virginia"
Deanwood,District of Columbia
Downtown Largo†,"Prince George's County, Maryland"
Dulles International Airport,"Loudoun County, Virginia"
Dunn Loring,"Fairfax County, Virginia"
Dupont Circle,District of Columbia
East Falls Church*,"Arlington County, Virginia"
Eastern Market,District of Columbia
Eisenhower Avenue,"Alexandria, Virginia"
Farragut North,District of Columbia
Farragut West,District of Columbia
Federal Center SW,District of Columbia
Federal Triangle,District of Columbia
Foggy Bottom–GWU,District of Columbia
Forest Glen,"Montgomery County, Maryland"
Fort Totten,District of Columbia
Franconia–Springfield,"Fairfax County, Virginia"
Friendship Heights,District of Columbia
Gallery Place,District of Columbia
Georgia Avenue–Petworth,District of Columbia
Glenmont†,"Montgomery County, Maryland"
Greensboro,"Fairfax County, Virginia"
Greenbelt,"Prince George's County, Maryland"
Grosvenor–Strathmore,"Montgomery County, Maryland"
Herndon,"Fairfax County, Virginia"
Huntington†,"Fairfax County, Virginia"
Hyattsville Crossing,"Prince George's County, Maryland"
Innovation Center,"Fairfax County, Virginia"
Judiciary Square,District of Columbia
King Street–Old Town*,"Alexandria, Virginia"
L'Enfant Plaza*(lower level)[a],District of Columbia
Landover,"Prince George's County, Maryland"
Loudoun Gateway,"Loudoun County, Virginia"
McLean,"Fairfax County, Virginia"
McPherson Square,District of Columbia
Medical Center,"Montgomery County, Maryland"
Metro Center,District of Columbia
Minnesota Avenue,District of Columbia
Morgan Boulevard,"Prince George's County, Maryland"
Mount Vernon Square*†,District of Columbia
Navy Yard–Ballpark,District of Columbia
Naylor Road,"Prince George's County, Maryland"
New Carrollton*†,"Prince George's County, Maryland"
NoMa–Gallaudet U,District of Columbia
North Bethesda,"Montgomery County, Maryland"
Pentagon*,"Arlington County, Virginia"
Pentagon City,"Arlington County, Virginia"
Potomac Avenue,District of Columbia
Potomac Yard,"Alexandria, Virginia"
Reston Town Center,"Fairfax County, Virginia"
Rhode Island Avenue,District of Columbia
Rockville,"Montgomery County, Maryland"
Ronald Reagan WashingtonNational Airport,"Arlington County, Virginia"
Rosslyn*,"Arlington, Virginia"
Shady Grove†,"Montgomery County, Maryland"
Shaw–Howard University,District of Columbia
Silver Spring,"Montgomery County, Maryland"
Smithsonian,District of Columbia
Southern Avenue,"Prince George's County, Maryland"
Spring Hill,"Fairfax County, Virginia"
Stadium–Armory*,District of Columbia
Suitland,"Prince George's County, Maryland"
Takoma,District of Columbia
Tenleytown–AU,District of Columbia
Twinbrook,"Montgomery County, Maryland"
Tysons,"Fairfax County, Virginia"
U Street,District of Columbia
Union Station,District of Columbia
Van Dorn Street,"Alexandria, Virginia"
Van Ness–UDC,District of Columbia
Vienna,"Fairfax County, Virginia"
Virginia Square–GMU,"Arlington County, Virginia"
Waterfront,District of Columbia
West Falls Church,"Fairfax County, Virginia"
West Hyattsville,"Prince George's County, Maryland"
Wheaton,"Montgomery County, Maryland"
Wiehle–Reston East,"Fairfax County, Virginia"
Woodley Park,District of Columbia
