Station Name,Avg Daily Entries,Time Period,Region
King St-Old Town,13.3,Midday (9:30am-3pm),Alexandria
Braddock Road,5.8,Midday (9:30am-3pm),Alexandria
Potomac Yard,4.4,Midday (9:30am-3pm),Alexandria
Pentagon City,27.6,Midday (9:30am-3pm),Arlington County
Ronald Reagan Washington National Airport,17.6,Midday (9:30am-3pm),Arlington County
Rosslyn,17.5,Midday (9:30am-3pm),Arlington County
Gallery Place,52.8,PM Peak (3pm-7pm),District of Columbia
Navy Yard-Ballpark,44.7,Evening (7pm-12am),District of Columbia
Foggy Bottom-GWU,38.6,PM Peak (3pm-7pm),District of Columbia
Vienna,11.3,Midday (9:30am-3pm),Fairfax County
Tysons,9.6,PM Peak (3pm-7pm),Fairfax County
Franconia-Springfield,9.0,Midday (9:30am-3pm),Fairfax County
Dulles Airport,8.5,PM Peak (3pm-7pm),Loudoun County
Ashburn,4.2,Midday (9:30am-3pm),Loudoun County
Loudoun Gateway,0.5,Midday (9:30am-3pm),Loudoun County
Shady Grove,14.5,Midday (9:30am-3pm),Montgomery County
Bethesda,12.9,Midday (9:30am-3pm),Montgomery County
Silver Spring,11.9,Midday (9:30am-3pm),Montgomery County
Greenbelt,10.5,Midday (9:30am-3pm),Prince George's County
Hyattsville Crossing,9.7,Midday (9:30am-3pm),Prince George's County
College Park-U of Md,7.2,PM Peak (3pm-7pm),Prince George's County
Brookland-CUA,10.0,Midday (9:30am-3pm),"Washington, D.C. (northeast)"
Benning Road,3.3,Midday (9:30am-3pm),"Washington, D.C. (northeast)"
Archives,12.7,PM Peak (3pm-7pm),"Washington, D.C. (northwest)"
Anacostia,8.4,Midday (9:30am-3pm),"Washington, D.C. (southeast)"
