Station Name,Avg Daily Entries,Time Period,Region,State
Addison Road,6.9,AM Peak (Open-9:30am),Prince George's County,Maryland
Anacostia,17.9,AM Peak (Open-9:30am),"Washington, D.C. (southeast)",D.C.
Archives,22.7,PM Peak (3pm-7pm),"Washington, D.C. (northwest)",D.C.
Arlington Cemetery,2.6,Midday (9:30am-3pm),Arlington County,Virginia
Ashburn,6.7,AM Peak (Open-9:30am),Loudoun County,Virginia
Ballston-MU,27.2,AM Peak (Open-9:30am),Arlington County,Virginia
Benning Road,8.7,AM Peak (Open-9:30am),"Washington, D.C. (northeast)",D.C.
Bethesda,23.3,AM Peak (Open-9:30am),Montgomery County,Maryland
Braddock Road,10.4,AM Peak (Open-9:30am),Alexandria,Virginia
Branch Ave,12.3,AM Peak (Open-9:30am),Prince George's County,Maryland
Brookland-CUA,19.8,AM Peak (Open-9:30am),"Washington, D.C. (northeast)",D.C.
Capitol Heights,6.5,AM Peak (Open-9:30am),Prince George's County,Maryland
Capitol South,25.2,PM Peak (3pm-7pm),District of Columbia,D.C.
Cheverly,2.7,AM Peak (Open-9:30am),Prince George's County,Maryland
Clarendon,13.3,AM Peak (Open-9:30am),Arlington County,Virginia
Cleveland Park,11.0,AM Peak (Open-9:30am),District of Columbia,D.C.
College Park-U of Md,9.4,AM Peak (Open-9:30am),Prince George's County,Maryland
Columbia Heights,36.8,PM Peak (3pm-7pm),District of Columbia,D.C.
Congress Heights,7.4,AM Peak (Open-9:30am),District of Columbia,D.C.
Court House,17.8,AM Peak (Open-9:30am),Arlington County,Virginia
Crystal City,24.7,PM Peak (3pm-7pm),Arlington County,Virginia
Deanwood,4.7,AM Peak (Open-9:30am),District of Columbia,D.C.
Downtown Largo,10.8,AM Peak (Open-9:30am),Prince George's County,Maryland
Dulles Airport,8.7,PM Peak (3pm-7pm),Loudoun County,Virginia
Dunn Loring,8.8,AM Peak (Open-9:30am),Fairfax County,Virginia
Dupont Circle,47.2,PM Peak (3pm-7pm),District of Columbia,D.C.
East Falls Church,12.1,AM Peak (Open-9:30am),Arlington County,Virginia
Eastern Market,17.0,AM Peak (Open-9:30am),District of Columbia,D.C.
Eisenhower Ave,5.9,AM Peak (Open-9:30am),Alexandria,Virginia
Farragut North,53.2,PM Peak (3pm-7pm),District of Columbia,D.C.
Farragut West,49.9,PM Peak (3pm-7pm),District of Columbia,D.C.
Federal Center SW,12.5,PM Peak (3pm-7pm),District of Columbia,D.C.
Federal Triangle,20.8,PM Peak (3pm-7pm),District of Columbia,D.C.
Foggy Bottom-GWU,62.6,PM Peak (3pm-7pm),District of Columbia,D.C.
Forest Glen,4.7,AM Peak (Open-9:30am),Montgomery County,Maryland
Fort Totten,36.2,AM Peak (Open-9:30am),District of Columbia,D.C.
Franconia-Springfield,14.9,AM Peak (Open-9:30am),Fairfax County,Virginia
Friendship Heights,18.2,AM Peak (Open-9:30am),District of Columbia,D.C.
Gallery Place,56.3,PM Peak (3pm-7pm),District of Columbia,D.C.
Georgia Ave-Petworth,20.2,AM Peak (Open-9:30am),District of Columbia,D.C.
Glenmont,10.5,AM Peak (Open-9:30am),Montgomery County,Maryland
Greenbelt,14.2,AM Peak (Open-9:30am),Prince George's County,Maryland
Greensboro,4.7,PM Peak (3pm-7pm),Fairfax County,Virginia
Grosvenor-Strathmore,11.8,AM Peak (Open-9:30am),Montgomery County,Maryland
Herndon,4.4,AM Peak (Open-9:30am),Fairfax County,Virginia
Huntington,15.5,AM Peak (Open-9:30am),Fairfax County,Virginia
Hyattsville Crossing,13.3,AM Peak (Open-9:30am),Prince George's County,Maryland
Innovation Center,3.8,AM Peak (Open-9:30am),Fairfax County,Virginia
Judiciary Square,19.1,PM Peak (3pm-7pm),District of Columbia,D.C.
King St-Old Town,16.9,AM Peak (Open-9:30am),Alexandria,Virginia
L'Enfant Plaza,48.7,PM Peak (3pm-7pm),District of Columbia,D.C.
Landover,4.8,AM Peak (Open-9:30am),Prince George's County,Maryland
Loudoun Gateway,1.5,AM Peak (Open-9:30am),Loudoun County,Virginia
McLean,10.8,PM Peak (3pm-7pm),Fairfax County,Virginia
McPherson Sq,36.1,PM Peak (3pm-7pm),District of Columbia,D.C.
Medical Center,14.4,PM Peak (3pm-7pm),Montgomery County,Maryland
Metro Center,66.0,PM Peak (3pm-7pm),District of Columbia,D.C.
Minnesota Ave,7.8,AM Peak (Open-9:30am),District of Columbia,D.C.
Morgan Boulevard,4.3,AM Peak (Open-9:30am),Prince George's County,Maryland
Mt Vernon Sq,15.9,PM Peak (3pm-7pm),District of Columbia,D.C.
Navy Yard-Ballpark,35.6,Evening (7pm-12am),District of Columbia,D.C.
Naylor Road,6.2,AM Peak (Open-9:30am),Prince George's County,Maryland
New Carrollton,15.8,AM Peak (Open-9:30am),Prince George's County,Maryland
NoMa-Gallaudet U,46.4,PM Peak (3pm-7pm),District of Columbia,D.C.
North Bethesda,9.4,AM Peak (Open-9:30am),Montgomery County,Maryland
Pentagon,38.3,PM Peak (3pm-7pm),Arlington County,Virginia
Pentagon City,34.2,AM Peak (Open-9:30am),Arlington County,Virginia
Potomac Ave,11.6,AM Peak (Open-9:30am),District of Columbia,D.C.
Potomac Yard,6.6,AM Peak (Open-9:30am),Alexandria,Virginia
Reston Town Center,4.4,AM Peak (Open-9:30am),Fairfax County,Virginia
Rhode Island Ave,20.0,AM Peak (Open-9:30am),District of Columbia,D.C.
Rockville,11.1,AM Peak (Open-9:30am),Montgomery County,Maryland
Ronald Reagan Washington National Airport,22.8,Midday (9:30am-3pm),Arlington County,Virginia
Rosslyn,34.2,PM Peak (3pm-7pm),Arlington County,Virginia
Shady Grove,27.1,AM Peak (Open-9:30am),Montgomery County,Maryland
Shaw-Howard U,15.3,PM Peak (3pm-7pm),District of Columbia,D.C.
Silver Spring,19.0,AM Peak (Open-9:30am),Montgomery County,Maryland
Smithsonian,17.8,PM Peak (3pm-7pm),District of Columbia,D.C.
Southern Ave,11.7,AM Peak (Open-9:30am),Prince George's County,Maryland
Spring Hill,3.2,PM Peak (3pm-7pm),Fairfax County,Virginia
Stadium-Armory,8.8,AM Peak (Open-9:30am),District of Columbia,D.C.
Suitland,11.2,AM Peak (Open-9:30am),Prince George's County,Maryland
Takoma,13.1,AM Peak (Open-9:30am),District of Columbia,D.C.
Tenleytown-AU,20.1,PM Peak (3pm-7pm),District of Columbia,D.C.
Twinbrook,11.0,AM Peak (Open-9:30am),Montgomery County,Maryland
Tysons,9.0,PM Peak (3pm-7pm),Fairfax County,Virginia
U Street,20.2,AM Peak (Open-9:30am),District of Columbia,D.C.
Union Station,68.0,PM Peak (3pm-7pm),District of Columbia,D.C.
Van Dorn Street,6.7,AM Peak (Open-9:30am),Alexandria,Virginia
Van Ness-UDC,15.2,AM Peak (Open-9:30am),District of Columbia,D.C.
Vienna,17.8,AM Peak (Open-9:30am),Fairfax County,Virginia
Virginia Sq-GMU,10.5,AM Peak (Open-9:30am),Arlington County,Virginia
Waterfront,15.5,PM Peak (3pm-7pm),District of Columbia,D.C.
West Falls Church,6.1,AM Peak (Open-9:30am),Fairfax County,Virginia
West Hyattsville,11.3,AM Peak (Open-9:30am),Prince George's County,Maryland
Wheaton,6.800000000000001,AM Peak (Open-9:30am),Montgomery County,Maryland
Wiehle-Reston East,7.6,AM Peak (Open-9:30am),Fairfax County,Virginia
Woodley Park,15.0,AM Peak (Open-9:30am),District of Columbia,D.C.
