Station Name,Avg Daily Entries,Time Period,Region
Addison Road,3.1,Midday (9:30am-3pm),Prince George's County
Anacostia,8.4,Midday (9:30am-3pm),"Washington, D.C. (southeast)"
Archives,12.7,PM Peak (3pm-7pm),"Washington, D.C. (northwest)"
Arlington Cemetery,3.8,Midday (9:30am-3pm),Arlington County
Ashburn,4.2,Midday (9:30am-3pm),Loudoun County
Ballston-MU,15.2,Midday (9:30am-3pm),Arlington County
Benning Road,3.3,Midday (9:30am-3pm),"Washington, D.C. (northeast)"
Bethesda,12.9,Midday (9:30am-3pm),Montgomery County
Braddock Road,5.8,Midday (9:30am-3pm),Alexandria
Branch Ave,5.2,Midday (9:30am-3pm),Prince George's County
Brookland-CUA,10.0,Midday (9:30am-3pm),"Washington, D.C. (northeast)"
Capitol Heights,2.0,Midday (9:30am-3pm),Prince George's County
Capitol South,8.3,PM Peak (3pm-7pm),District of Columbia
Cheverly,0.9,Midday (9:30am-3pm),Prince George's County
Clarendon,10.5,Midday (9:30am-3pm),Arlington County
Cleveland Park,8.5,Midday (9:30am-3pm),District of Columbia
College Park-U of Md,7.2,PM Peak (3pm-7pm),Prince George's County
Columbia Heights,26.8,Midday (9:30am-3pm),District of Columbia
Congress Heights,3.5,Midday (9:30am-3pm),District of Columbia
Court House,11.3,Midday (9:30am-3pm),Arlington County
Crystal City,13.0,Midday (9:30am-3pm),Arlington County
Deanwood,1.8,Midday (9:30am-3pm),District of Columbia
Downtown Largo,3.7,Midday (9:30am-3pm),Prince George's County
Dulles Airport,8.5,PM Peak (3pm-7pm),Loudoun County
Dunn Loring,4.5,Midday (9:30am-3pm),Fairfax County
Dupont Circle,34.6,Midday (9:30am-3pm),District of Columbia
East Falls Church,7.4,Midday (9:30am-3pm),Arlington County
Eastern Market,18.3,Midday (9:30am-3pm),District of Columbia
Eisenhower Ave,3.6,Midday (9:30am-3pm),Alexandria
Farragut North,15.8,PM Peak (3pm-7pm),District of Columbia
Farragut West,10.2,Midday (9:30am-3pm),District of Columbia
Federal Center SW,5.3,PM Peak (3pm-7pm),District of Columbia
Federal Triangle,9.7,PM Peak (3pm-7pm),District of Columbia
Foggy Bottom-GWU,38.6,PM Peak (3pm-7pm),District of Columbia
Forest Glen,2.7,Midday (9:30am-3pm),Montgomery County
Fort Totten,18.9,Midday (9:30am-3pm),District of Columbia
Franconia-Springfield,9.0,Midday (9:30am-3pm),Fairfax County
Friendship Heights,9.9,Midday (9:30am-3pm),District of Columbia
Gallery Place,52.8,PM Peak (3pm-7pm),District of Columbia
Georgia Ave-Petworth,12.4,Midday (9:30am-3pm),District of Columbia
Glenmont,5.1000000000000005,Midday (9:30am-3pm),Montgomery County
Greenbelt,10.5,Midday (9:30am-3pm),Prince George's County
Greensboro,2.1,Midday (9:30am-3pm),Fairfax County
Grosvenor-Strathmore,6.0,Midday (9:30am-3pm),Montgomery County
Herndon,2.8000000000000003,Midday (9:30am-3pm),Fairfax County
Huntington,8.7,Midday (9:30am-3pm),Fairfax County
Hyattsville Crossing,9.7,Midday (9:30am-3pm),Prince George's County
Innovation Center,3.1,Midday (9:30am-3pm),Fairfax County
Judiciary Square,6.3,PM Peak (3pm-7pm),District of Columbia
King St-Old Town,13.3,Midday (9:30am-3pm),Alexandria
L'Enfant Plaza,25.1,PM Peak (3pm-7pm),District of Columbia
Landover,1.1,Midday (9:30am-3pm),Prince George's County
Loudoun Gateway,0.5,Midday (9:30am-3pm),Loudoun County
McLean,3.1,PM Peak (3pm-7pm),Fairfax County
McPherson Sq,11.8,Midday (9:30am-3pm),District of Columbia
Medical Center,2.7,Midday (9:30am-3pm),Montgomery County
Metro Center,32.6,PM Peak (3pm-7pm),District of Columbia
Minnesota Ave,2.4,Midday (9:30am-3pm),District of Columbia
Morgan Boulevard,1.6,Midday (9:30am-3pm),Prince George's County
Mt Vernon Sq,12.7,Midday (9:30am-3pm),District of Columbia
Navy Yard-Ballpark,44.7,Evening (7pm-12am),District of Columbia
Naylor Road,2.7,Midday (9:30am-3pm),Prince George's County
New Carrollton,5.0,Midday (9:30am-3pm),Prince George's County
NoMa-Gallaudet U,31.1,Midday (9:30am-3pm),District of Columbia
North Bethesda,5.3,Midday (9:30am-3pm),Montgomery County
Pentagon,4.4,Midday (9:30am-3pm),Arlington County
Pentagon City,27.6,Midday (9:30am-3pm),Arlington County
Potomac Ave,4.5,Midday (9:30am-3pm),District of Columbia
Potomac Yard,4.4,Midday (9:30am-3pm),Alexandria
Reston Town Center,2.2,Midday (9:30am-3pm),Fairfax County
Rhode Island Ave,12.7,Midday (9:30am-3pm),District of Columbia
Rockville,6.300000000000001,Midday (9:30am-3pm),Montgomery County
Ronald Reagan Washington National Airport,17.6,Midday (9:30am-3pm),Arlington County
Rosslyn,17.5,Midday (9:30am-3pm),Arlington County
Shady Grove,14.5,Midday (9:30am-3pm),Montgomery County
Shaw-Howard U,9.7,Midday (9:30am-3pm),District of Columbia
Silver Spring,11.9,Midday (9:30am-3pm),Montgomery County
Smithsonian,26.5,PM Peak (3pm-7pm),District of Columbia
Southern Ave,5.3,Midday (9:30am-3pm),Prince George's County
Spring Hill,1.9,Midday (9:30am-3pm),Fairfax County
Stadium-Armory,3.1,Midday (9:30am-3pm),District of Columbia
Suitland,4.5,Midday (9:30am-3pm),Prince George's County
Takoma,6.0,Midday (9:30am-3pm),District of Columbia
Tenleytown-AU,9.9,Midday (9:30am-3pm),District of Columbia
Twinbrook,6.5,Midday (9:30am-3pm),Montgomery County
Tysons,9.6,PM Peak (3pm-7pm),Fairfax County
U Street,19.9,PM Peak (3pm-7pm),District of Columbia
Union Station,36.9,PM Peak (3pm-7pm),District of Columbia
Van Dorn Street,3.6,Midday (9:30am-3pm),Alexandria
Van Ness-UDC,8.3,Midday (9:30am-3pm),District of Columbia
Vienna,11.3,Midday (9:30am-3pm),Fairfax County
