Station Name,Avg Daily Entries,Time Period
Addison Road,6.9,AM Peak (Open-9:30am)
Anacostia,17.9,AM Peak (Open-9:30am)
Archives,22.7,PM Peak (3pm-7pm)
Arlington Cemetery,2.6,Midday (9:30am-3pm)
Ashburn,6.7,AM Peak (Open-9:30am)
Ballston-MU,27.2,AM Peak (Open-9:30am)
Benning Road,8.7,AM Peak (Open-9:30am)
Bethesda,23.3,AM Peak (Open-9:30am)
Braddock Road,10.4,AM Peak (Open-9:30am)
Branch Ave,12.3,AM Peak (Open-9:30am)
Brookland-CUA,19.8,AM Peak (Open-9:30am)
Capitol Heights,6.5,AM Peak (Open-9:30am)
Capitol South,25.2,PM Peak (3pm-7pm)
Cheverly,2.7,AM Peak (Open-9:30am)
Clarendon,13.3,AM Peak (Open-9:30am)
Cleveland Park,11.0,AM Peak (Open-9:30am)
College Park-U of Md,9.4,AM Peak (Open-9:30am)
Columbia Heights,36.8,PM Peak (3pm-7pm)
Congress Heights,7.4,AM Peak (Open-9:30am)
Court House,17.8,AM Peak (Open-9:30am)
Crystal City,24.7,PM Peak (3pm-7pm)
Deanwood,4.7,AM Peak (Open-9:30am)
Downtown Largo,10.8,AM Peak (Open-9:30am)
Dulles Airport,8.7,PM Peak (3pm-7pm)
Dunn Loring,8.8,AM Peak (Open-9:30am)
Dupont Circle,47.2,PM Peak (3pm-7pm)
East Falls Church,12.1,AM Peak (Open-9:30am)
Eastern Market,17.0,AM Peak (Open-9:30am)
Eisenhower Ave,5.9,AM Peak (Open-9:30am)
Farragut North,53.199999999999996,PM Peak (3pm-7pm)
Farragut West,49.9,PM Peak (3pm-7pm)
Federal Center SW,12.5,PM Peak (3pm-7pm)
Federal Triangle,20.8,PM Peak (3pm-7pm)
Foggy Bottom-GWU,62.6,PM Peak (3pm-7pm)
Forest Glen,4.7,AM Peak (Open-9:30am)
Fort Totten,36.199999999999996,AM Peak (Open-9:30am)
Franconia-Springfield,14.9,AM Peak (Open-9:30am)
Friendship Heights,18.2,AM Peak (Open-9:30am)
Gallery Place,56.3,PM Peak (3pm-7pm)
Georgia Ave-Petworth,20.2,AM Peak (Open-9:30am)
Glenmont,10.5,AM Peak (Open-9:30am)
Greenbelt,14.2,AM Peak (Open-9:30am)
Greensboro,4.7,PM Peak (3pm-7pm)
Grosvenor-Strathmore,11.8,AM Peak (Open-9:30am)
Herndon,4.4,AM Peak (Open-9:30am)
Huntington,15.5,AM Peak (Open-9:30am)
Hyattsville Crossing,13.3,AM Peak (Open-9:30am)
Innovation Center,3.8,AM Peak (Open-9:30am)
Judiciary Square,19.099999999999998,PM Peak (3pm-7pm)
King St-Old Town,16.9,AM Peak (Open-9:30am)
L'Enfant Plaza,48.7,PM Peak (3pm-7pm)
Landover,4.8,AM Peak (Open-9:30am)
Loudoun Gateway,1.5,AM Peak (Open-9:30am)
McLean,10.8,PM Peak (3pm-7pm)
McPherson Sq,36.1,PM Peak (3pm-7pm)
Medical Center,14.4,PM Peak (3pm-7pm)
Metro Center,66.0,PM Peak (3pm-7pm)
Minnesota Ave,7.8,AM Peak (Open-9:30am)
Morgan Boulevard,4.3,AM Peak (Open-9:30am)
Mt Vernon Sq,15.9,PM Peak (3pm-7pm)
Navy Yard-Ballpark,35.6,Evening (7pm-12am)
Naylor Road,6.2,AM Peak (Open-9:30am)
New Carrollton,15.8,AM Peak (Open-9:30am)
NoMa-Gallaudet U,46.4,PM Peak (3pm-7pm)
North Bethesda,9.4,AM Peak (Open-9:30am)
Pentagon,38.3,PM Peak (3pm-7pm)
Pentagon City,34.2,AM Peak (Open-9:30am)
Potomac Ave,11.6,AM Peak (Open-9:30am)
Potomac Yard,6.6,AM Peak (Open-9:30am)
Reston Town Center,4.4,AM Peak (Open-9:30am)
Rhode Island Ave,20.0,AM Peak (Open-9:30am)
Rockville,11.1,AM Peak (Open-9:30am)
Ronald Reagan Washington National Airport,22.8,Midday (9:30am-3pm)
Rosslyn,34.2,PM Peak (3pm-7pm)
Shady Grove,27.1,AM Peak (Open-9:30am)
Shaw-Howard U,15.3,PM Peak (3pm-7pm)
Silver Spring,19.0,AM Peak (Open-9:30am)
Smithsonian,17.8,PM Peak (3pm-7pm)
Southern Ave,11.7,AM Peak (Open-9:30am)
Spring Hill,3.2,PM Peak (3pm-7pm)
Stadium-Armory,8.8,AM Peak (Open-9:30am)
Suitland,11.2,AM Peak (Open-9:30am)
Takoma,13.1,AM Peak (Open-9:30am)
Tenleytown-AU,20.1,PM Peak (3pm-7pm)
Twinbrook,11.0,AM Peak (Open-9:30am)
Tysons,9.0,PM Peak (3pm-7pm)
U Street,20.2,AM Peak (Open-9:30am)
Union Station,68.0,PM Peak (3pm-7pm)
Van Dorn Street,6.7,AM Peak (Open-9:30am)
Van Ness-UDC,15.2,AM Peak (Open-9:30am)
Vienna,17.8,AM Peak (Open-9:30am)
Virginia Sq-GMU,10.5,AM Peak (Open-9:30am)
Waterfront,15.5,PM Peak (3pm-7pm)
West Falls Church,6.1,AM Peak (Open-9:30am)
West Hyattsville,11.3,AM Peak (Open-9:30am)
Wheaton,6.800000000000001,AM Peak (Open-9:30am)
Wiehle-Reston East,7.6000000000000005,AM Peak (Open-9:30am)
Woodley Park,15.0,AM Peak (Open-9:30am)
