Station Name,Avg Daily Entries,Time Period
Addison Road,3.1,Midday (9:30am-3pm)
Anacostia,8.4,Midday (9:30am-3pm)
Archives,12.7,PM Peak (3pm-7pm)
Arlington Cemetery,3.8,Midday (9:30am-3pm)
Ashburn,4.2,Midday (9:30am-3pm)
Ballston-MU,15.2,Midday (9:30am-3pm)
Benning Road,3.3,Midday (9:30am-3pm)
Bethesda,12.9,Midday (9:30am-3pm)
Braddock Road,5.8,Midday (9:30am-3pm)
Branch Ave,5.2,Midday (9:30am-3pm)
Brookland-CUA,10.0,Midday (9:30am-3pm)
Capitol Heights,2.0,Midday (9:30am-3pm)
Capitol South,8.3,PM Peak (3pm-7pm)
Cheverly,0.9,Midday (9:30am-3pm)
Clarendon,10.5,Midday (9:30am-3pm)
Cleveland Park,8.5,Midday (9:30am-3pm)
College Park-U of Md,7.2,PM Peak (3pm-7pm)
Columbia Heights,26.8,Midday (9:30am-3pm)
Congress Heights,3.5,Midday (9:30am-3pm)
Court House,11.3,Midday (9:30am-3pm)
Crystal City,13.0,Midday (9:30am-3pm)
Deanwood,1.8,Midday (9:30am-3pm)
Downtown Largo,3.7,Midday (9:30am-3pm)
Dulles Airport,8.5,PM Peak (3pm-7pm)
Dunn Loring,4.5,Midday (9:30am-3pm)
Dupont Circle,34.6,Midday (9:30am-3pm)
East Falls Church,7.4,Midday (9:30am-3pm)
Eastern Market,18.3,Midday (9:30am-3pm)
Eisenhower Ave,3.6,Midday (9:30am-3pm)
Farragut North,15.8,PM Peak (3pm-7pm)
Farragut West,10.200000000000001,Midday (9:30am-3pm)
Federal Center SW,5.3,PM Peak (3pm-7pm)
Federal Triangle,9.700000000000001,PM Peak (3pm-7pm)
Foggy Bottom-GWU,38.6,PM Peak (3pm-7pm)
Forest Glen,2.7,Midday (9:30am-3pm)
Fort Totten,18.9,Midday (9:30am-3pm)
Franconia-Springfield,9.0,Midday (9:30am-3pm)
Friendship Heights,9.9,Midday (9:30am-3pm)
Gallery Place,52.8,PM Peak (3pm-7pm)
Georgia Ave-Petworth,12.4,Midday (9:30am-3pm)
Glenmont,5.1000000000000005,Midday (9:30am-3pm)
Greenbelt,10.5,Midday (9:30am-3pm)
Greensboro,2.1,Midday (9:30am-3pm)
Grosvenor-Strathmore,6.0,Midday (9:30am-3pm)
Herndon,2.8000000000000003,Midday (9:30am-3pm)
Huntington,8.7,Midday (9:30am-3pm)
Hyattsville Crossing,9.700000000000001,Midday (9:30am-3pm)
Innovation Center,3.1,Midday (9:30am-3pm)
Judiciary Square,6.3,PM Peak (3pm-7pm)
King St-Old Town,13.3,Midday (9:30am-3pm)
L'Enfant Plaza,25.1,PM Peak (3pm-7pm)
Landover,1.1,Midday (9:30am-3pm)
Loudoun Gateway,0.5,Midday (9:30am-3pm)
McLean,3.1,PM Peak (3pm-7pm)
McPherson Sq,11.8,Midday (9:30am-3pm)
Medical Center,2.7,Midday (9:30am-3pm)
Metro Center,32.6,PM Peak (3pm-7pm)
Minnesota Ave,2.4,Midday (9:30am-3pm)
Morgan Boulevard,1.6,Midday (9:30am-3pm)
Mt Vernon Sq,12.7,Midday (9:30am-3pm)
Navy Yard-Ballpark,44.7,Evening (7pm-12am)
Naylor Road,2.7,Midday (9:30am-3pm)
New Carrollton,5.0,Midday (9:30am-3pm)
NoMa-Gallaudet U,31.1,Midday (9:30am-3pm)
North Bethesda,5.3,Midday (9:30am-3pm)
Pentagon,4.4,Midday (9:30am-3pm)
Pentagon City,27.599999999999998,Midday (9:30am-3pm)
Potomac Ave,4.5,Midday (9:30am-3pm)
Potomac Yard,4.4,Midday (9:30am-3pm)
Reston Town Center,2.2,Midday (9:30am-3pm)
Rhode Island Ave,12.7,Midday (9:30am-3pm)
Rockville,6.300000000000001,Midday (9:30am-3pm)
Ronald Reagan Washington National Airport,17.6,Midday (9:30am-3pm)
Rosslyn,17.5,Midday (9:30am-3pm)
Shady Grove,14.5,Midday (9:30am-3pm)
Shaw-Howard U,9.7,Midday (9:30am-3pm)
Silver Spring,11.9,Midday (9:30am-3pm)
Smithsonian,26.5,PM Peak (3pm-7pm)
Southern Ave,5.3,Midday (9:30am-3pm)
Spring Hill,1.9000000000000001,Midday (9:30am-3pm)
Stadium-Armory,3.0999999999999996,Midday (9:30am-3pm)
Suitland,4.5,Midday (9:30am-3pm)
Takoma,6.0,Midday (9:30am-3pm)
Tenleytown-AU,9.9,Midday (9:30am-3pm)
Twinbrook,6.5,Midday (9:30am-3pm)
Tysons,9.6,PM Peak (3pm-7pm)
U Street,19.9,PM Peak (3pm-7pm)
Union Station,36.9,PM Peak (3pm-7pm)
Van Dorn Street,3.6,Midday (9:30am-3pm)
Van Ness-UDC,8.3,Midday (9:30am-3pm)
Vienna,11.3,Midday (9:30am-3pm)
Virginia Sq-GMU,6.0,Midday (9:30am-3pm)
Waterfront,16.0,Evening (7pm-12am)
West Falls Church,2.6,Midday (9:30am-3pm)
West Hyattsville,6.6,Midday (9:30am-3pm)
Wheaton,4.4,Midday (9:30am-3pm)
Wiehle-Reston East,4.2,Midday (9:30am-3pm)
Woodley Park,15.5,Midday (9:30am-3pm)
